Id,SalePrice
2658,133333.8116163535
2718,202874.48425442065
2414,180080.2240746219
1989,127263.1140987738
625,177032.40005778184
333,105199.30440767504
1327,123446.48155631922
858,155751.93195645363
95,196669.7367176999
1568,148179.8168003596
2482,172264.95393178202
1364,134133.6137718268
2584,154451.99935051403
818,297261.9996568235
2673,152121.80003314355
2089,125858.43797127357
1297,137660.19136402928
790,121530.21182094712
2616,182991.5827319168
720,185138.47970141674
222,136324.20632228215
557,118303.41226685871
1148,213121.56676817645
2766,134669.95287434486
534,199458.12671684843
1452,115268.23642276909
630,134694.88228925236
2648,143874.9969249709
125,144664.5977929674
1904,66912.43608807414
1670,113392.80307346096
756,109052.03889984025
717,264324.289027604
1032,157994.83865618095
852,221884.1353579631
1731,178177.91611799077
2639,120828.37426960355
2071,92273.71490102842
1267,114359.64577282274
1851,200226.17739796246
567,156715.09811672985
2439,214758.91834960718
1898,157770.2839250586
647,144943.12477837078
2256,220390.7362793177
979,113275.05360336477
1444,211925.44962902894
2485,114485.464433204
157,132911.1317641354
88,130754.00649534015
2003,113563.50086926477
186,214843.14130984276
1425,263654.0705789409
2695,133811.90125407395
738,114934.21236330004
395,154419.00583770892
1353,153932.6302240323
1878,141563.40346966076
390,154581.78527779743
1456,225732.03948316164
1103,321495.2994401569
1387,123834.08873606255
2070,139797.71443712473
1199,181187.29921533263
2479,175228.27854078534
501,321387.3566194451
2362,96308.72518031625
1718,200400.39856905935
2188,87019.87596551752
1483,150928.46413229028
2557,89550.71679827217
437,352836.3591466886
2224,183334.83593675063
1628,170273.61872832332
397,131930.45504245456
587,207569.3227579034
971,137780.6890573409
2611,149774.7828350397
1887,98902.62216238632
2399,359552.1054144905
2148,214567.57635007368
304,123565.44613803524
1997,132266.409439445
2817,124858.1319135793
1431,176213.83226707808
427,424022.02685528225
263,119450.9200929816
598,167887.96182291015
2895,238251.95818928003
687,155606.6472821965
1822,131280.3604154174
2191,111966.89413448144
179,136536.89719017752
1009,198245.13711532654
2010,120124.97717532539
1991,133174.7928322301
1411,156364.602575328
1721,243364.189181067
1144,188626.52867244137
593,210092.12594037235
575,288963.6615673123
1249,177375.185875576
1604,121654.93234678803
1064,511838.0146270756
1923,140783.67656833943
1988,106541.48666332172
2325,168087.67535217977
114,192821.86533234493
2700,189645.87600022348
217,133929.56006535608
343,169874.47749025596
386,236961.52103189038
2005,116959.19614270845
2908,136754.27807289312
1814,213750.2970599819
2446,504882.340103354
208,157006.473558984
1679,123664.34102738094
822,347566.3577863305
6,176228.67610336706
1781,426835.26082889084
2397,284110.69616177375
2340,294342.0556713572
1618,162639.91988201314
2843,143506.47025179054
1061,378206.5006819931
2786,118418.21341999542
1935,131413.42233973416
1341,120069.78676529157
521,274899.4508272489
2136,128536.98608593561
996,177047.93397029408
227,131020.60364174671
135,153610.38540419337
1167,162416.63930020458
294,220266.9439134223
1776,204154.99919479212
540,184350.35690901277
1717,200400.39856905935
2303,127582.3359378812
116,183857.29231251133
127,133884.31859754235
1371,133349.6735556032
1014,162669.19547284837
1507,96218.46284509546
702,148955.48772666266
750,147573.9386916963
261,151748.8096462272
1559,81494.62795382866
577,241135.85450379574
2812,203255.5093900582
2080,152431.97000428892
1368,121623.04981095096
2376,117111.45324027764
659,112237.63531852108
1235,121564.1444237887
332,94588.4696836538
1917,140077.16666400488
2094,255825.8863905635
1460,283227.27875853603
1471,204217.99634339716
1509,122608.28237643151
1922,130064.67742646084
433,533940.3855002872
460,283103.4135971767
1116,250535.8449827528
1137,171076.78126876417
53,185049.74347249544
2354,249291.0240654132
1475,206727.41855358356
1761,702013.8564925888
842,141058.64647257907
2739,170554.40063178656
2509,160488.86005905166
1007,208698.02466749283
2610,174647.80834301375
1952,95304.32390655472
2719,185110.8682589591
2921,103720.18222284154
1966,137328.13667017713
292,116501.43817665015
1204,184228.82576631472
1829,232092.65641849587
2419,186786.44454734906
391,161062.53549552022
798,117114.32496611576
481,186458.75008961893
193,204110.03639963458
555,120706.12675965964
899,83513.94513264687
2357,174126.84241788698
328,127550.28857643122
1356,126474.46812526276
1154,114513.19376105731
1730,175735.07488829026
2249,141189.2978782903
1119,254556.73643321206
2856,121993.43643081955
1394,140960.3146005788
2587,124324.92823834551
61,348995.8649365868
2661,189054.3138613795
2711,124420.08621198597
1147,186219.5993344473
757,138500.10894772632
2623,94183.0095342928
2378,153596.59371495334
1413,136053.2947232478
1722,219731.08447111637
1112,216322.0036208542
1623,180581.55188103727
1201,187017.24834181866
1513,127288.8949426181
957,233991.57822627597
1171,264615.47680871986
1145,199834.32075258926
2726,223031.00337100145
703,143450.98719267081
760,91800.94865766798
1964,138663.4317832157
2512,177551.4108369263
159,153910.36845767588
1281,165629.1187401106
468,174493.83390036406
290,115520.14169491087
665,114886.37078374773
1463,269122.5076598757
1792,226231.4934607478
923,135416.3675232858
500,281155.789967266
1408,143848.86476140085
331,88155.23622165508
170,127462.24249043653
2192,96739.62274514484
2571,312534.9366162212
2314,160263.26677533853
2647,99990.84890602344
422,460527.4675977475
2457,394238.27913925564
1838,212028.86154412647
2805,243537.29477338525
1645,161189.61058289447
1711,314610.292041914
2825,269227.9408011322
322,384081.63494485046
2103,270867.0542935993
342,117459.77035482196
600,106878.65693641652
488,187600.87628322685
1725,345233.48923017696
2246,253516.7488970047
2847,153919.50285255155
806,240025.21119811022
530,233776.2890267415
963,183382.39253199138
2678,93239.03471180478
171,96707.45200765216
2401,453793.8362333239
805,214998.86643626148
2259,190034.4846739807
1748,171359.9690590831
1361,133653.79986028268
1677,129211.92123451205
1406,141750.41054358333
2322,230775.39313652346
688,161536.44845613587
143,141887.929724115
804,195694.62146813204
1214,162944.24570442855
2828,159481.1117285787
1999,185793.22205366095
2467,193071.71281201413
2665,158396.1168288359
1538,343371.6407333457
398,111487.69136594897
2822,139390.07699117356
2157,154315.32886097307
1856,176431.10086236123
1269,98714.27419170414
2570,119874.6416666549
2320,235926.19691998523
1517,120135.98381690365
2304,121521.097406043
1312,106775.26749227359
2012,125753.45180759218
506,212001.0869441156
2865,180274.20966964294
2367,116716.26112991324
554,105605.2016791139
238,129727.39916669342
1954,111586.79023310493
2488,136165.1444200463
2291,106060.25876426796
1969,102704.81017263216
2725,153898.0281840877
1482,150928.46413229028
2763,201645.9817543864
503,241829.93295581624
1584,242343.57753298798
1531,140358.03823474637
2210,172758.4621498768
459,354787.3247825151
556,128758.54922528577
1347,148218.84486355822
1290,91697.82000483535
1388,106673.17474932663
1571,172319.0153157499
2754,202265.03440504725
765,132906.4078126868
2494,121493.82147818858
2870,192986.16460892744
7,218608.58820283698
1114,244452.54464922764
2418,283557.0247703407
291,140619.80841535385
18,368107.3509500422
39,373115.7025670696
1001,274660.79238795355
2442,248082.45963852145
616,121892.63817005142
2680,76598.84651549598
1414,115423.50793556335
289,138615.8997607431
40,258818.90236188704
860,125295.6074631861
409,136849.46053977867
673,150661.5316626816
2427,184695.40058188327
2036,198817.7416058313
2564,136885.02066842763
642,178674.01474830243
1008,184344.52500538775
1908,149094.88145279424
2519,197504.62255570438
1369,102197.58832855007
2855,142494.6895528843
712,91828.18596175902
1943,110415.06097174177
1958,127601.83783515796
107,157317.17727764064
2295,187637.4668691539
704,101710.47635168207
676,120361.83302101167
259,182647.72635507365
93,280091.8094938575
106,227773.1419778315
2315,178219.1115305669
1050,117397.45071067559
1095,186763.60952286448
2709,132669.87059148712
758,152013.42658709912
1496,155465.8290251928
2370,128786.11314418452
2458,270686.6029582739
2733,130915.78724124678
161,302906.4247325155
726,156590.28650969354
845,217230.42198355557
947,253092.12185174567
2232,116261.80140376164
2563,132651.57204003911
2299,148673.7453482269
211,106208.09770760515
605,168026.8077788285
1478,214285.68901908974
2247,255231.17606041866
2274,185686.7406522834
2869,201160.8347130397
967,227059.84941883147
2656,120652.15217117636
667,223970.49200777122
1042,117879.60945833736
2023,148728.36366140607
2447,415992.0702579607
2055,119806.05633251843
2275,293714.015442974
2204,156691.47000894867
1563,264336.197964928
483,207031.77999010932
796,143983.34687636368
1526,144141.75003031705
2042,151046.77697633495
442,360006.2245870144
1693,342528.18985684053
1468,207469.17727072
1430,169918.27025868633
2605,165915.4940634202
1529,160983.65269974625
335,131262.24232620426
1287,136403.67262047157
31,115021.31814759648
1785,310649.41528502095
82,154994.23722639141
2620,131951.14884827894
252,196530.87621155052
721,77847.97610103332
2165,191304.5372343626
2316,164156.54634225875
775,128817.10547175448
1558,101037.4664812481
17,201722.10352204024
1022,247249.5465118037
925,110882.78585357392
438,296598.5431606444
1270,136377.496747418
1272,119288.03339043139
215,127402.73457197892
266,218209.15443699714
2402,267666.67047339
1250,122772.9810031711
1984,125883.00933419567
1279,139770.38586111958
377,262776.9857803582
1252,137399.42184725043
2156,259250.0132308745
499,310123.4847790729
1374,109623.39292094721
2898,251681.04239581747
401,112674.2635106789
2721,168040.67073840383
2078,257981.57155503862
2589,127431.85058022499
1946,264170.00345229096
1334,124189.9444785415
2781,237153.1863187542
431,425549.3071227314
576,202397.35080244148
1474,206148.42370994066
2254,136344.5064091355
2155,280997.085722396
885,116490.37786316685
643,127599.82964515506
1944,130834.42617392387
480,194961.16800958864
2845,118589.38373632848
2387,317736.53682561486
2407,205165.27847923714
2527,149558.83964892893
2514,152213.4929303676
629,165568.45742203246
80,205320.7398795004
1876,135588.61223311245
1546,126064.08209631484
2518,167674.88713114767
2347,158142.2884921329
783,181552.88821093543
1322,84747.31587588653
194,91523.43894068422
1770,295411.6463023504
2143,144621.69042754034
1229,188642.6617357124
511,275144.86663944693
46,206747.14291896796
